२. कालसूची - हैदरनायकाशीं संग्राम

सन १७२२                  हैदरअलीचा जन्म.
सन १७५१-६१              हैदरनायकाचा कर्नाटकावर विजय.
सन १७६१   जानेवारी १४    पानिपतची तिसरी लढाई.
सन १७६२   मार्च            पेशव्याची कर्नाटकावर पहिली स्वारी.
   ,,      ऑगस्ट          हैदरचा मुराररावावर विजय.
सन १७६४   जानेवारी        पेशव्याची कर्नाटकावर दुसरी स्वारी,
   ,,                     कोल्हापुरास पेशव्याचें आगमन.
   ,,      एप्रिल           पेशवा सावनुरास दाखल.
   ,,      मे ३            रट्टेहळ्ळीची लढाई.
   ,,      मे ९            पेशवा - मुरारराव भेट.
   ,,      सप्टेंबर          पेशव्याचा धारवाडास वेढा.
   ,,       ,, २०         मुराररावास सेनापतिपद दिलें.
   ,,      नोव्हेंबर ६       धारवाड काबीज.
   ,,      डिसेंबर १       अनवडीची लढाई.
सन १७६५   जानेवारी २७    दादा-माधवराव भेट.
  ,, ,,    मार्च ३०        हैदरशीं अनंतपूरचा तह.
सन १७६६   नोव्हेंबर १२     इंग्रज-निजामांचा दोस्तीचा तह.
  ,, १७६७  अखेर           पेशव्याची कर्नाटकावर तिसरी स्वारी.
   ,,      जानेवारी        पेशव्यानें गोठगणति घेतली.
   ,,      मार्च ४          मदगिरी काबीज.
   ,,      मे ७            हैदरशीं पेशव्याचा तह.
   ,,      ऑगस्ट ते ४      एप्रिल १७६९, इंग्रज-हैदर पहिलें युद्ध.
सन १७६९   पावसाळा        हैदरची सावनूर-गुत्तीवर चढाई.
सन १७७०   जानेवारी        पेशव्याचा म्हैसूर प्रांतांत शिरकाव.
   ,,      एप्रिल २९       निजगलवर नारायणरावास जखम.
   ,,      मे २५           पेशव्याची सुवर्णतुला निवृत्तिसंगमावर.
   ,,      जून             त्रिंबकराव पेठ्याकडून चिक्कवाळापूर काबीज.
   ,,      ऑगस्ट          गुर्रमकोंड्यास वेढा.
