शुद्धिपत्र

पृष्ठ    ओळ    अशुद्ध    शुद्ध
१२    शेवटीं    पूर्वेच्या    पूर्णेच्या
१६    २    ४-७-४    ४-७-७४
५१    ५    हस्तक    दस्तक
५८    २०    आपणास    आप्टणास
८३    ७    कारभाराच्या    कारभाऱ्यांच्या
८९    खालून २    बगैरे    बगैरे कडे
१४८    १४    फौजेस जाणाऱ्या    जाणाऱ्या फौजेस
१५२    ३    दयाबाई    दर्याबाई
१५६    १२    ७-९-१७७७    ७-९-१७७८
१५७    ७    २९-१०-१७७७    २९-१०-१७७८
५५५    १५    सुरतवाले इंग्रजास    सुरतवाले यांनीं इंग्रजास
३७१    २०    मुत्सद्यांत    मसुद्यांत
४२१    ८    चार राजांनीं    चार इंग्रजांनीं
४४६    १७    भाईंना    बारभाईंना
४०६    ४    बडोद्याचे गायकवाड    सर्जेराव घाटगे
